id,source,source_type,title,description,url,date_original,date_normalized,country,sectors,has_description,has_date,quality_score,collected_at,target_audience,experience_required,budget_range,urgency,complexity_level,suggested_profiles
3ae6ec5b6c7d,DER Sénégal,national,Notre mission,"Notre missionCréée par décret n° 2017-2123 du 15 novembre 2017, la Délégation générale à l’Entreprenariat Rapide des Femmes et des Jeunes (DER/FJ) a pour mission l’impulsion et la promotion de l’entreprenariat des femmes et des jeunes, à travers notamment : La définition et la mise en œuvre de stratégies de promotion de l’auto-emploi de",https://www.der.sn/la-der-fj/,11 août 2026,2026-08-11,Sénégal,technologie,oui,oui,90,2026-08-31T10:00:14.899Z,Tout public,Confirmé,Non spécifié,Expirée,1,"expert_tech, consultant_digital, developpeur, it_manager, expert_afrique_ouest"
ea4702cff10a,DER Sénégal,national,PAVIE: AVIS À MANIFESTATION D’INTÉRÊT,"Juin 9, 2026 | Appels à manifestation d'intérêt, Flash Infos",https://www.der.sn/pavie-avis-a-manifestation-dinteret/,,,Sénégal,non classifié,oui,non,65,2026-08-31T10:00:14.899Z,Tout public,Confirmé,Non spécifié,Normale,1,expert_afrique_ouest
c9b7735506d2,DER Sénégal,national,PAVIE: APPEL À MANIFESTATION D’INTÉRÊT,"Juin 9, 2026 | Appels à manifestation d'intérêt, Flash Infos",https://www.der.sn/pavie-appel-a-manifestation-dinteret-3/,,,Sénégal,non classifié,oui,non,65,2026-08-31T10:00:14.900Z,Tout public,Confirmé,Non spécifié,Normale,1,expert_afrique_ouest
70b620a15e8e,DER Sénégal,national,PAVIE: APPEL À MANIFESTATION D’INTÉRÊT,"Juin 9, 2026 | À la une, Appels à manifestation d'intérêt",https://www.der.sn/pavie-appel-a-manifestation-dinteret-2/,,,Sénégal,non classifié,oui,non,65,2026-08-31T10:00:14.900Z,Tout public,Confirmé,Non spécifié,Normale,1,expert_afrique_ouest
89c0698e31cd,DER Sénégal,national,PAVIE: APPEL À MANIFESTATION D’INTÉRÊT,"Juin 9, 2026 | Appels à manifestation d'intérêt, Flash Infos",https://www.der.sn/pavie-appel-a-manifestation-dinteret/,,,Sénégal,non classifié,oui,non,65,2026-08-31T10:00:14.900Z,Tout public,Confirmé,Non spécifié,Normale,1,expert_afrique_ouest
16057461ece6,DER Sénégal,national,𝐏𝐀𝐀𝐈𝐂𝐄: 𝐀𝐯𝐢𝐬 𝐝’𝐀𝐩𝐩𝐞𝐥 𝐝’𝐎𝐟𝐟𝐫𝐞𝐬,"Juin 23, 2025 | À la une, Appels à manifestation d'intérêt, Flash Infos",https://www.der.sn/%f0%9d%90%8f%f0%9d%90%80%f0%9d%90%80%f0%9d%90%88%f0%9d%90%82%f0%9d%90%84-%f0%9d%90%80%f0%9d%90%af%f0%9d%90%a2%f0%9d%90%ac-%f0%9d%90%9d%f0%9d%90%80%f0%9d%90%a9%f0%9d%90%a9%f0%9d%90%9e/,,,Sénégal,non classifié,oui,non,65,2026-08-31T10:00:14.900Z,Tout public,Confirmé,Non spécifié,Normale,1,expert_afrique_ouest
7df0b51c8e73,ARCOP (ex-ARMP) Sénégal,national,"PPP ET FONDS DE PLACEMENT A RISQUE :La transparence, autre condition de l’investissement privé","Au Forum de l’emploi et de l’entrepreneuriat de SeptAfrique Groupe qui s’est tenu récemment à Dakar, le Directeur général de l’ARCOP a établi un (...)",https://www.achatspublics.sn/,,,Sénégal,technologie,oui,non,85,2026-08-31T10:00:20.347Z,Startup,Confirmé,Non spécifié,Normale,1,"expert_tech, consultant_digital, developpeur, it_manager, expert_afrique_ouest, consultant_pme, accompagnement_startup"
a221bf7dd6bd,ARCOP (ex-ARMP) Sénégal,national,"PPP ET FONDS DE PLACEMENT A RISQUE :La transparence, autre condition de l’investissement privé","Au Forum de l’emploi et de l’entrepreneuriat de SeptAfrique Groupe qui s’est tenu récemment à Dakar, le Directeur général de l’ARCOP a établi un (...)",https://arcop.sn/2026/08/24/ppp-et-fonds-de-placement-a-risque-la-transparence-autre-condition-de-linvestissement-prive/,,,Sénégal,technologie,oui,non,85,2026-08-31T10:00:20.347Z,Startup,Confirmé,Non spécifié,Normale,1,"expert_tech, consultant_digital, developpeur, it_manager, expert_afrique_ouest, consultant_pme, accompagnement_startup"
24c5d847e64c,ARCOP (ex-ARMP) Sénégal,national,NOUVEL ORGANIGRAMME DE L’ARCOP : Une architecture pour porter le Renouveau de la commande publique,"En réorganisant ses structures autour du numérique, de la régulation, de la performance, de la professionnalisation, des partenariats public privé (PPP), des achats publics (...)",https://arcop.sn/2026/08/24/nouvel-organigramme-de-larcop-une-architecture-pour-porter-le-renouveau-de-la-commande-publique/,,,Sénégal,"eau, technologie, gouvernance",oui,non,85,2026-08-31T10:00:20.348Z,Public,Confirmé,Non spécifié,Normale,2,"ingenieur_hydraulique, expert_eau, environnement, expert_tech, consultant_digital, developpeur, it_manager, expert_gouvernance, consultant_public, administrateur, expert_afrique_ouest"
091772898406,ARCOP (ex-ARMP) Sénégal,national,"DELAIS, PENALITES, INTERETS MORATOIRES, REVISION DES PRIX ET RESILIATION :Vingt acteurs du programme FORCE-N et de l’UNCHK formés par l’ARCOP","La bonne exécution d’un marché public ne s’arrête pas à son attribution. Une fois le contrat signé, d’autres exigences commencent. Il s’agit notamment du (...)",https://arcop.sn/2026/08/21/gestion-des-contrats-larcop-renforce-les-competences-de-lunchk-et-de-force-n/,,,Sénégal,"technologie, gouvernance, commerce",oui,non,85,2026-08-31T10:00:20.348Z,Public,Confirmé,Non spécifié,Normale,2,"expert_tech, consultant_digital, developpeur, it_manager, expert_gouvernance, consultant_public, administrateur, expert_commerce, consultant_export, business_dev, expert_afrique_ouest"
41ce214d57f5,Banque Mondiale,international,Liberia: Rural Economic Transformation Project,Liberia,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00164784,"August 28, 2026",,International,"agriculture, éducation",oui,non,55,2026-08-31T10:00:40.034Z,Tout public,Confirmé,Non spécifié,Normale,1,"expert_agriculture, consultant_agro, ingenieur_agronome, expert_education, consultant_formation, pedagogie"
df87c0f9eac5,Banque Mondiale,international,"Design, supply and installation of Linear accelerators",Serbia,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00446991,"August 28, 2026",,International,non classifié,oui,non,45,2026-08-31T10:00:40.035Z,Tout public,Confirmé,Non spécifié,Normale,1,
276988bdd6ac,Banque Mondiale,international,Quality Assurance Expert,Ukraine,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00453960,"August 28, 2026",,International,technologie,oui,non,55,2026-08-31T10:00:40.035Z,Tout public,Expert,Non spécifié,Normale,1,"expert_tech, consultant_digital, developpeur, it_manager"
d4573e06411a,Banque Mondiale,international,UCP/Recrutement d'une Firme d'Audit pour le PReGeFIP,Haiti,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00454954,"August 28, 2026",,International,technologie,oui,non,55,2026-08-31T10:00:40.035Z,Tout public,Confirmé,Non spécifié,Normale,1,"expert_tech, consultant_digital, developpeur, it_manager"
4281d757e630,Banque Mondiale,international,ECPE Model Diversification Expert,Ukraine,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00455611,"August 28, 2026",,International,non classifié,oui,non,45,2026-08-31T10:00:40.035Z,Tout public,Expert,Non spécifié,Normale,1,
67641c889e43,Banque Mondiale,international,Data Analyst Expert,Ukraine,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00455613,"August 28, 2026",,International,non classifié,oui,non,35,2026-08-31T10:00:40.035Z,Tout public,Expert,Non spécifié,Normale,1,
16374fc89981,Banque Mondiale,international,"Consultoria técnica especializada para atuação como ENGENHEIRO, conforme condições de contrato do Livro Amarelo (Yellow Book) FIDIC, Segunda Edição, 2017, para os Serviços e Obras de Engenharia do Pro",Brazil,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00459178,"August 28, 2026",,International,non classifié,oui,non,45,2026-08-31T10:00:40.036Z,Tout public,Confirmé,Non spécifié,Normale,1,
6fe5f195ddaa,Banque Mondiale,international,"Transfo distribution - Fourniture de transformateurs, cellules et batteries de compensation aux postes de distribution HTA;",Central African Republic,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00459524,"August 28, 2026",,Afrique,"technologie, gouvernance",oui,non,65,2026-08-31T10:00:40.036Z,Public,Confirmé,Non spécifié,Normale,1,"expert_tech, consultant_digital, developpeur, it_manager, expert_gouvernance, consultant_public, administrateur, expert_afrique_ouest"
f933aab66a80,Banque Mondiale,international,Procurement of 6 Tractors with Implements,Eastern and Southern Africa,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00461413,"August 28, 2026",,Afrique,technologie,oui,non,65,2026-08-31T10:00:40.036Z,Tout public,Confirmé,Non spécifié,Normale,1,"expert_tech, consultant_digital, developpeur, it_manager, expert_afrique_ouest"
892e9697994e,Banque Mondiale,international,Consultancy Services for Establishment and Operationalisation of Supervisory Boards in Vocational Education Institutions,Ukraine,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00462495,"August 28, 2026",,International,"éducation, technologie",oui,non,55,2026-08-31T10:00:40.036Z,Tout public,Confirmé,Non spécifié,Normale,1,"expert_education, consultant_formation, pedagogie, expert_tech, consultant_digital, developpeur, it_manager"
fa796e3fa46c,Banque Mondiale,international,"Consultancy Services for undertaking Field Assessment, Detailed Engineering Design and Preparation of Procurement Documents for Rehabilitation of Railway Track and Structures (Bridge & Culverts) along",Tanzania,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00464838,"August 28, 2026",,Sénégal,technologie,oui,non,65,2026-08-31T10:00:40.036Z,ONG/Association,Confirmé,Non spécifié,Normale,1,"expert_tech, consultant_digital, developpeur, it_manager, expert_afrique_ouest"
fa3c86db49e5,Banque Mondiale,international,"Consultancy services for the system identification study, detailed designs and tender documents preparation for the SMART Corridor.",Zambia,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00465182,"August 28, 2026",,Sénégal,non classifié,oui,non,55,2026-08-31T10:00:40.036Z,Tout public,Confirmé,Non spécifié,Normale,1,expert_afrique_ouest
97dd83c8c368,Banque Mondiale,international,"Procurement of Pick Up (Phase 2) for Upstream Waste Collection Facilities in the Purwakarta Regency, Karawang Regency, Cianjur Regency and Depok City",Indonesia,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00465416,"August 28, 2026",,International,technologie,oui,non,55,2026-08-31T10:00:40.037Z,Tout public,Confirmé,Non spécifié,Normale,1,"expert_tech, consultant_digital, developpeur, it_manager"
e1703bd9cba4,Banque Mondiale,international,"Procurement of Pick Up (Phase 2) for Upstream Waste Collection Facilities in the Purwakarta Regency, Karawang Regency, Cianjur Regency and Depok City",Indonesia,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00465418,"August 28, 2026",,International,technologie,oui,non,55,2026-08-31T10:00:40.037Z,Tout public,Confirmé,Non spécifié,Normale,1,"expert_tech, consultant_digital, developpeur, it_manager"
87514ac552d5,Banque Mondiale,international,"Consulting Service for development of solid waste regulatory framework, waste classification, collection service performance indicators, landfill management and operation performance indicators, moni",Cambodia,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00465419,"August 28, 2026",,International,non classifié,oui,non,45,2026-08-31T10:00:40.037Z,PME,Confirmé,Non spécifié,Normale,1,"consultant_pme, accompagnement_startup"
