source,title,description,url,date,collected_at
"JSONPlaceholder (Test)","sunt aut facere repellat provident occaecati excepturi optio reprehenderit","quia et suscipit
suscipit recusandae consequuntur expedita et cum
reprehenderit molestiae ut ut quas totam
nostrum rerum est autem sunt rem eveniet architecto","https://jsonplaceholder.typicode.com/posts/1","2026-08-19T14:04:52.289Z","2026-08-19T14:04:52.290Z"
"JSONPlaceholder (Test)","qui est esse","est rerum tempore vitae
sequi sint nihil reprehenderit dolor beatae ea dolores neque
fugiat blanditiis voluptate porro vel nihil molestiae ut reiciendis
qui aperiam non debitis possimus qui neque nisi nulla","https://jsonplaceholder.typicode.com/posts/2","2026-08-19T14:04:52.290Z","2026-08-19T14:04:52.290Z"
"JSONPlaceholder (Test)","ea molestias quasi exercitationem repellat qui ipsa sit aut","et iusto sed quo iure
voluptatem occaecati omnis eligendi aut ad
voluptatem doloribus vel accusantium quis pariatur
molestiae porro eius odio et labore et velit aut","https://jsonplaceholder.typicode.com/posts/3","2026-08-19T14:04:52.290Z","2026-08-19T14:04:52.290Z"
"JSONPlaceholder (Test)","eum et est occaecati","ullam et saepe reiciendis voluptatem adipisci
sit amet autem assumenda provident rerum culpa
quis hic commodi nesciunt rem tenetur doloremque ipsam iure
quis sunt voluptatem rerum illo velit","https://jsonplaceholder.typicode.com/posts/4","2026-08-19T14:04:52.290Z","2026-08-19T14:04:52.290Z"
"JSONPlaceholder (Test)","nesciunt quas odio","repudiandae veniam quaerat sunt sed
alias aut fugiat sit autem sed est
voluptatem omnis possimus esse voluptatibus quis
est aut tenetur dolor neque","https://jsonplaceholder.typicode.com/posts/5","2026-08-19T14:04:52.290Z","2026-08-19T14:04:52.290Z"
"DER Sénégal","Notre mission","[rev_slider alias=""blur-effect-slider""][/rev_slider]
			
				
				
			
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				Notre missionCréée par décret n° 2017-2123 du 15 novembre 2017, la Délégation générale à l’Entreprenariat Rapide des Femmes et des Jeunes (DER/FJ) a pour mission l’impulsion et la promotion de l’entreprenariat des femmes et des jeunes, à travers notamment :


La définition et la mise en œuvre de stratégies de promotion de l’auto-emploi de","https://www.der.sn/la-der-fj/","11 août 2026","2026-08-19T14:05:06.775Z"
"DER Sénégal","PAVIE: AVIS À MANIFESTATION D’INTÉRÊT","Juin 9, 2026 | Appels à manifestation d'intérêt, Flash Infos","https://www.der.sn/pavie-avis-a-manifestation-dinteret/","","2026-08-19T14:05:06.775Z"
"DER Sénégal","PAVIE: APPEL À MANIFESTATION D’INTÉRÊT","Juin 9, 2026 | Appels à manifestation d'intérêt, Flash Infos","https://www.der.sn/pavie-appel-a-manifestation-dinteret-3/","","2026-08-19T14:05:06.775Z"
"DER Sénégal","PAVIE: APPEL À MANIFESTATION D’INTÉRÊT","Juin 9, 2026 | À la une, Appels à manifestation d'intérêt","https://www.der.sn/pavie-appel-a-manifestation-dinteret-2/","","2026-08-19T14:05:06.776Z"
"DER Sénégal","PAVIE: APPEL À MANIFESTATION D’INTÉRÊT","Juin 9, 2026 | Appels à manifestation d'intérêt, Flash Infos","https://www.der.sn/pavie-appel-a-manifestation-dinteret/","","2026-08-19T14:05:06.776Z"
"DER Sénégal","𝐏𝐀𝐀𝐈𝐂𝐄: 𝐀𝐯𝐢𝐬 𝐝’𝐀𝐩𝐩𝐞𝐥 𝐝’𝐎𝐟𝐟𝐫𝐞𝐬","Juin 23, 2025 | À la une, Appels à manifestation d'intérêt, Flash Infos","https://www.der.sn/%f0%9d%90%8f%f0%9d%90%80%f0%9d%90%80%f0%9d%90%88%f0%9d%90%82%f0%9d%90%84-%f0%9d%90%80%f0%9d%90%af%f0%9d%90%a2%f0%9d%90%ac-%f0%9d%90%9d%f0%9d%90%80%f0%9d%90%a9%f0%9d%90%a9%f0%9d%90%9e/","","2026-08-19T14:05:06.776Z"
"ARCOP (ex-ARMP) Sénégal","PLUSIEURS ANNÉES SANS EXCLUSION : L’ARCOP prononce une sanction rare contre NDIAPANDAL SERVICES","Le fait est suffisamment rare pour être relevé. Le Comité de règlement des différends (CRD) de l’ARCOP, statuant en formation disciplinaire, a prononcé, le (...)","https://www.achatspublics.sn/","","2026-08-19T14:05:12.672Z"
"ARCOP (ex-ARMP) Sénégal","PLUSIEURS ANNÉES SANS EXCLUSION : L’ARCOP prononce une sanction rare contre NDIAPANDAL SERVICES","Le fait est suffisamment rare pour être relevé. Le Comité de règlement des différends (CRD) de l’ARCOP, statuant en formation disciplinaire, a prononcé, le (...)","https://arcop.sn/2026/08/14/plusieurs-annees-sans-exclusion-larcop-prononce-une-sanction-rare-contre-ndiapandal-services/","","2026-08-19T14:05:12.672Z"
"ARCOP (ex-ARMP) Sénégal","ACCES DES PME A LA COMMANDE PUBLIQUE : La Caisse des Marchés et l’ARCOP explorent de nouvelles solutions pour les PME","Le Directeur général de l’ARCOP, Dr Moustapha DJITTE, a proposé l’organisation prochaine d’un atelier associant la Caisse des Marchés et l’ADEPME, afin d’examiner les (...)","https://arcop.sn/2026/08/14/acces-des-pme-a-la-commande-publique-la-caisse-des-marches-et-larcop-explorent-de-nouvelles-solutions-pour-les-pme/","","2026-08-19T14:05:12.672Z"
"ARCOP (ex-ARMP) Sénégal","PREFERENCES, RESERVATIONS, OFFRES SPONTANEES, PPP : L’ARCOP appelle le secteur privé national à mieux saisir les opportunités","La commande publique peut-elle davantage profiter au secteur privé national ? La question s’est invitée au cœur des échanges de la 2ᵉ édition du (...)","https://arcop.sn/2026/08/12/preferences-reservations-offres-spontanees-ppp-larcop-appelle-le-secteur-prive-national-a-mieux-saisir-les-opportunites/","","2026-08-19T14:05:12.672Z"
"ADEPME","Améliorez votre entreprise","Nos services","https://www.adepme.sn/index.php/reseautage","Nos services","2026-08-19T14:05:19.096Z"
"ADEPME","Améliorez votre entreprise","Nos services","https://www.adepme.sn/index.php/reseautage","Nos services","2026-08-19T14:05:19.097Z"
"ADEPME","Améliorez votre entreprise","Nos services","https://www.adepme.sn/","Nos services","2026-08-19T14:05:19.097Z"
"ADEPME","Nos partenaires","","https://adepme.sn/partners/giz/","Nos partenaires","2026-08-19T14:05:19.098Z"
"ADEPME","Nos partenaires","","https://adepme.sn/partners/giz/","Nos partenaires","2026-08-19T14:05:19.098Z"
"ADEPME","Nos partenaires","","https://www.adepme.sn/","Nos partenaires","2026-08-19T14:05:19.099Z"
"ADEPME","Dernières nouvelles","Actualités","https://adepme.sn/rapport-de-durabilite/","Actualités","2026-08-19T14:05:19.104Z"
"ADEPME","Dernières nouvelles","Actualités","https://adepme.sn/rapport-de-durabilite/","Actualités","2026-08-19T14:05:19.104Z"
"ADEPME","Dernières nouvelles","Actualités","https://www.adepme.sn/","Actualités","2026-08-19T14:05:19.104Z"
"ADEPME","Rapport de Durabilité","","https://adepme.sn/rapport-de-durabilite/","26.05.2026","2026-08-19T14:05:19.105Z"
